description,source
Polyfill for Object.setPrototypeOf,top
"Faster, bash-like range expansion. Expand a range of numbers or letters, uppercase or lowercase. See the benchmarks.",top
,top
DES for browserify,top
,top
createSign and createVerify in your browser,top
Unicode symbols with fallbacks for older terminals,top
Source code handling classes for webpack,top
A simple module for bitwise-xor on buffers,top
Get the command from a shebang,top
a list of SPDX license identifiers,top
"Regular expression for matching file names, with or without extension.",top
Check if something is a Node.js stream,top
Read and parse a JSON file,top
abstract base class for crypto-streams,top
ESLint plugin with rules that help validate proper imports.,top
Write files in an atomic fashion w/configurable ownership,top
"Node style hashes for use in the browser, with native hash functions in node",top
"Node style HMAC for use in the browser, with native implementation in node",top
parse a url with memoization,top
Normalize a URL,top
HTTP status utility,top
browserify version of crypto.createECDH,top
Create an array by repeating the given string n times.,top
Check if a path is inside another path,top
🐈 CLI app helper,top
Simple RFC 6838 media type parser and formatter,top
Create and parse HTTP Content-Type header,top
Strip UTF-8 byte order mark (BOM) from a string,top
Check if a file path is a binary file,top
Returns the next buffer/object in a stream's readable queue,top
Check if a path exists,top
[DEPRECATED] Node.js `os.homedir()` ponyfill,top
Parse HTTP X-Forwarded-For header,top
Check if a string matches the name of a Node.js builtin module,top
Read a package.json file,top
pure js diffie-hellman,top
Expand POSIX bracket expressions (character classes) in glob patterns.,top
Turn a writable and readable stream into a streams2 duplex stream with support for async initialization and streams1/streams2 input,top
Node.js 0.12 path.isAbsolute() ponyfill,top
Return true if the file is (or the file path has) a dotfile.,top
Extended globs. Add (almost) the expressive power of regular expressions to glob patterns.,top
React-specific linting rules for ESLint,top
,top
ES2015 `Array#findIndex()` ponyfill,top
"Encode a URL to a percent-encoded form, excluding already-encoded sequences",top
,top
,top
"Like `fs.createWriteStream(...)`, but atomic.",top
"Get the native JavaScript type of a value, fast. Used by superstruct, micromatch and many others!",top
A dictionary of file extensions and associated module loaders.,top
Get the system locale,top
Regular expression for matching a shebang line,top
Create and parse HTTP Content-Disposition header,top
ES2015 Object.assign() ponyfill,top
,top
Perfectly spec-compliant atob and btoa implementations,top
Toggle the CLI cursor,top
Center-align the text in a string.,top
PostCSS plugin to reduce calc(),top
A CSS Modules transform to extract export statements from local-scope classes,top
"Answers the question: ""can this value have keys?"". Returns true if a value is any of the object types: array, regexp, plain object, function or date. Useful for determining if a value is an object that can be extended.",top
Promise based HTTP client for the browser and node.js,top
abstract base class for hash-streams,top
"Get a stream as a string, Buffer, ArrayBuffer or array",top
"JavaScript/Node.js utility. Returns `true` if the value is a number or string number. Useful for checking regex match results, user input, parsed strings, etc. ",top
Check if a path is the current working directory,top
Check if a path is in the current working directory,top
Resolve the path of a module like require.resolve() but from a given path,top
:ledger: the bare-bones i18n library used by yargs,top
"Temporarily substitute tokens in the given `string` with placeholders, then put them back after transforming the string.",top
"Check if a path is a file, directory, or symlink",top
Determine address of proxied request,top
"Easily generate random strings like passwords, with simple options for specifying a length and for using patterns of numeric, alpha-numeric, alphabetical, special or custom characters. (the original ""generate-password"")",top
Runtime type checking for React props and similar objects,top
Serialize JavaScript to a superset of JSON that includes regular expressions and functions.,top
ES2015 Number.isNaN() ponyfill,top
"Memoize the results of a call to the RegExp constructor, avoiding repetitious runtime compilation of the same string and options, resulting in dramatic speed improvements.",top
Find the root directory of a Node.js project or npm package,top
Determine if an object is a Node.js Stream,top
,top
Alphanumeric sorting algorithm,top
Get stdin as a string or buffer,top
[DEPRECATED use memfs instead] A simple in-memory filesystem. Holds data in a javascript object.,top
ES2015 Number.isFinite() ponyfill,top
Detect whether or not an object is a Typed Array,top
random bytes from browserify stand alone,top
Use acorn to detect global variables in JavaScript,top
publicEncrypt/privateDecrypt for browserify,top
"Cache requires to be lazy-loaded when needed. Uses node's own require system with tried and true, plain-vanilla JavaScript getters.",top
"Get, set, or delete a property from a nested object using a dot path",top
A window.fetch JavaScript polyfill.,top
"Does a shallow comparison of two objects, returning false if the keys or values differ.",top
Make unhandled promise rejections fail loudly instead of the default silent fail,top
Make a function mimic another one,top
Get callsites from the V8 stack trace API,top
handle multiple require hooks ,top
Is the typeof value a javascript primitive?,top
ES6 spec-compliant Object.assign shim. From https://github.com/es-shims/es6-shim,top
HTTP request logger middleware for node.js,top
Get the PATH environment variable key cross-platform,top
when you want to fire an event no matter how a process exits.,top
"Deeply mix the properties of objects into the first object, while also mixing-in child objects.",top
Embedded JavaScript templates -- http://ejs.co,top
Basic object store with methods like get/set/extend/omit,top
[DEPRECATED] Please use https://github.com/webpack-contrib/mini-css-extract-plugin Extracts text from a bundle into a separate file,top
Indent each line in a string,top
Get the npm global path prefix. Same code used internally by npm.,top
Monorepo for the JS language tools.,top
Utils for working with JavaScript classes and prototype methods.,top
"Visit a method over the items in an object, or map visit over the objects in an array. This is an alternative approach to using extend or merge, useful when events are emitted on a method like get or set.",top
node style md5 on pure JavaScript,top
Streaming node http in the browser,top
Set nested properties on an object using dot-notation.,top
🌐 Human-friendly and powerful HTTP request library for Node.js,top
The map of HTTP status codes from the builtin http module,top
Set an array of unique values as the property of an object. Supports setting deeply nested properties using using object-paths/dot notation. Node.js/JavaScript util.,top
Define a non-enumerable property on an object.,top
[DEPRECATED] A ESlint loader for webpack,top
test for inclusion or exclusion of paths using globs,top
An implementation of the WHATWG URL Standard in JavaScript,top
An elegant lib that converts the chalked text to HTML.,top
Gracefully restore the CLI cursor on exit,top
Like `new Map` but for older JavaScripts,top
Implements the Web IDL algorithms for converting to and from JavaScript values,top
Return a copy of an object without the given keys. ,top
Transforms css values into the tree,top
Track the list of currently unhandled promise rejections,top
node.js core url module as a module,top
Repeat a string - fast,top
,top
node helper to execute shell commands,top
correct invalid SPDX identifiers,top
parse SPDX license expressions,top
Returns true if a value has the characteristics of a valid JavaScript accessor descriptor.,top
Map object keys and values into a new object,top
Returns true if a value has the characteristics of a valid JavaScript data descriptor.,top
"Babel plugin to transpile import() to a deferred require(), for node",top
Like envify but much faster,top
,top
Slice a string with ANSI escape codes,top
Fallback to a default if `process.stdout.getWindowSize` doesn't exist,top
[DEPRECATED] Tools for working with sourceMappingURL comments.,top
Parses and stringifies CSS selectors.,top
Node.js path.parse() ponyfill,top
Reliable way to to get the height and width of the terminal/console in a node.js environment.,top
Give me a string and I'll tell you if it's a valid npm package license string,top
Command line argument parser,top
Minimalistic utils for JS-only crypto,top
Map `visit` over an array of objects.,top
Hash functions in pure javascript,top
Serve directory listings,top
"Fast, minimal glob matcher for node.js. Similar to micromatch, minimatch and multimatch, but without support for extended globs (extglobs), posix brackets or braces, and with complete Bash 4.3 wildcard support: (""*"", ""**"", and ""?"").",top
Manipulate the HTTP Vary header,top
"Split a string on a given character or characters, with support for escaping.",top
Strip redundant indentation and indent the string,top
Create an object path (dot notation) from a list or array of strings.,top
Delete nested properties from an object using dot notation.,top
Strip leading whitespace from each line in a string,top
Trim newlines from the start and/or end of a string,top
"A very simple and stupid parser, based on a statemachine and regular expressions.",top
Create boxes in the terminal,top
A Bonjour/Zeroconf protocol implementation in JavaScript,top
Node's default require extensions as a separate module,top
Get the length of the longest item in an array.,top
"Write data to the file system, creating any intermediate directories if they don't already exist. Used by flat-cache and many others!",top
Check if a URL is absolute,top
Error: 404,top
Formats data into a string table.,top
Error: 404,top
Try to guess if your terminal supports unicode,top
Prepend `https://` to humanized URLs like `sindresorhus.com` and `localhost`,top
,top
"A CSS selector parser, integrates with postcss but does not require it.",top
Execute a listener when a response is about to write headers.,top
ES2017 spec-compliant shim for Object.values,top
Prettier is an opinionated code formatter.,top
"Pass two numbers, get a regex-compatible source string for matching ranges. Fast compiler, optimized regex, and validated against more than 2.78 million test assertions. Useful for creating regular expressions to validate numbers, ranges, years, etc.",top
A regular expression to match all Emoji-only symbols as per the Unicode Standard.,top
Check if a value is a plain object,top
Check if a string or buffer is SVG,top
Generate hashes from javascript objects in node and the browser.,top
Generate regular expressions from regjsparser’s AST.,top
"Extends `stats.isDirectory()`, returns `true` if a filepath is a directory.",top
Detect Node.JS,top
Parse HTTP request cookies,top
Check if a value is an object,top
Basic cache object for storing key-value pairs. Based on MapCache in Lo-dash 3.0,top
Returns true if the platform is Windows (and Cygwin or MSYS/MinGW for unit tests),top
Resolve the path of a module like `require.resolve()` but from the current working directory,top
"Resolve a directory that is either local, global or in the user's home directory.",top
Right-align the text in a string.,top
Captures and cleans stack traces.,top
Generic extension management for WebSocket connections,top
Turn a CSS color into its smallest representation.,top
Simple `setImmediate` shim,top
Detect the dominant newline character of a string,top
"Parser for the engine.io protocol, used by client and server",top
Combine an array of streams into a single duplex stream using pump and duplexify,top
A JS library for predictable global state management,top
Detect if the current environment is a CI server,top
Copy files and directories with webpack,top
"A tool set for CSS including fast detailed parser, walker, generator and lexer based on W3C specs and browser implementations",top
[deprecated] UglifyJS Plugin,top
PostCSS plugin for css modules to local-scope classes and ids,top
Small footprint URL parser that works seamlessly across Node.js and browser environments.,top
"Querystringify - Small, simple but powerful query string parser.",top
Pass arbitrary constants between your module files,top
🔀 Cross platform setting of environment scripts,top
Search & replace tokens during the linking stage of ICSS loading,top
Low level multicast-dns implementation in pure javascript,top
Sort the keys of an object,top
Return true if a file path contains the given path.,top
An abstract-encoding compliant module for encoding / decoding DNS packets,top
Create an array with values that are present in the first input array but not additional ones,top
Node.js os.homedir polyfill for older versions of node.js.,top
Get an ArrayBuffer from a Buffer as fast as possible,top
Converting Number to Fraction with Node.js,top
Sort CSS declarations fast and automatically in a certain order.,top
Check if a protocol requires a certain port number to be added to an URL.,top
"Neo-Async is thought to be used as a drop-in replacement for Async, it almost fully covers its functionality and runs faster",top
Lowercase the keys of an object,top
Use property paths (`a.b.c`) get a nested value from an object.,top
Fast line to line SourceMap generator.,top
"normalize a ranged value that wraps. ( i.e. angular range [0-360), where 400 === 40 and -20 === 340)",top
Create a relative URL with options to minify.,top
"Returns true if a value exists, false if empty. Works with deeply nested values using object paths.",top
Parse and stringify mdns service types,top
Get your internal IP address,top
Returns the directory used by NPM for globally installed NPM packages.,top
Returns true if a value has the characteristics of a valid JavaScript descriptor. Works for data descriptors and accessor descriptors.,top
Official React bindings for Redux,top
Regular expression for matching HTML comments,top
Copies non-react specific statics from a child component to a parent component,top
The Socket.IO in-memory adapter,top
Ponyfill for Error#captureStackTrace,top
"Get a formatted timestamp. Used in gulp, assemble, generate, and many others.",top
Reduce CSS calc() function at the maximum,top
Get the latest version of an npm package,top
Module that helps you write generated functions in Node,top
A JSONSchema validator that uses code generation to be extremely fast,top
A write stream constructor that supports a flush function that is called before finish is emitted,top
Call the given method on each value in the given object.,top
Get metadata of a package from the npm registry,top
Get the gzipped size of a string or buffer,top
Merge designed for webpack,top
Exclude/warn on duplicated PostCSS plugins.,top
"snapdragon is an extremely pluggable, powerful and easy-to-use parser-renderer factory.",top
Measure the difference between two strings with the fastest JS implementation of the Levenshtein distance algorithm,top
"Reduce function calls in a string, using a callback",top
Easily add plugin support to your node.js application. ,top
Encode/decode DNS-SD TXT record RDATA fields,top
Exports a function for slicing ArrayBuffer without polyfilling,top
"Recursively (deep) clone JavaScript native types, like Object, Array, RegExp, Date as well as primitives. Used by superstruct, merge-deep, and many others!",top
Sourcemap support for gulpjs.,top
Parses and compiles CSS nth-checks to highly optimized functions.,top
favicon serving middleware,top
"Uses a breadth-first search, when necessary, to resolve the file path using the correct casing, and verify that the file actually exists. Returns consistent results regardless of case sensitivity of the file path and/or operating system.",top
Convert directories to glob compatible strings,top
A collection of useful stream utility modules for writing better code using streams,top
Turn any collection of objects into its own efficient tree or linked list using Symbol,top
PostCSS helpers to throw or output GNU style messages,top
Convert bytes to a human readable string: 1337 → 1.34 kB,top
Simple session middleware for Express,top
Validates whether a string matches the production for an XML name or qualified name,top
Generate the origin from an URL or check if two URL/Origins are the same.,top
Get the real length of a string - by correctly counting astral symbols and ignoring ansi escape codes,top
"sane aims to be fast, small, and reliable filesystem watcher. No bells and whistles, just change events.",top
A stricter URI encode adhering to RFC 3986,top
"Lo-dash's array-clice method. Slices `array` from the `start` index up to, but not including, the `end` index.",top
Check if your code is running as an npm or yarn script,top
A Node.js file system walker with a Readable stream interface. Extracted from fs-extra.,top
Load module from string,top
📦 Webpack loader for Vue.js components,top
"Easily add ANSI colors to your text and symbols in the terminal. ansi-colors is the official ansi styling library for gulp. Used by hundreds of projects, including enquirer, vscode, codeql, azure data studio, aws-cdk, redwoodjs, leaflet, mocha, and many others.",top
Get the diff type of two semver versions: 0.0.1 0.0.2 → patch,top
Get XDG Base Directory paths,top
,top
Get the set npm registry URL,top
Use Custom Properties in CSS,top
Tiny utility to de-duplicate lists,top
"SPDY v2, v3, v3.1 and HTTP2 transport implementation for node.js",top
ESLint Config for JavaScript Standard Style,top
Detect if we were run as a result of `npm publish`.,top
,top
Non-blocking stdout stream,top
Prefix CSS,top
Make your terminal beep,top
Get available v8 and Node.js flags.,top
Create the next immutable state by mutating the current one,top
url.parse() with support for protocol-less URLs & IPs,top
"Make a shallow clone of an object, array or primitive.",top
Unique ID Generator,top
Import a module lazily,top
Flow types for the Javascript AST,top
BDD style assertions for node.js -- test framework agnostic,top
Run some code when the process exits,top
Get the MAC addresses (hardware addresses) of the hosts network interfaces.,top
webpack plugin for generating asset manifests,top
Prepare a node environment to require files with different extensions.,top
Parses import dependencies from a directory of sass files,top
Determine the root path to your project,top
Get the visual width of the widest line in a string - the number of columns required to display it,top
Topological sorting with grouping support,top
JS Object representation of a stack frame. ,top
Tiny but linear growing unique id generator.,top
Regular expression for matching IP addresses,top
Merge multiple streams into one stream in sequence or parallel (~119M/month downloads).,top
Colored symbols for various log levels,top
Strip block comments or line comments from JavaScript code. ,top
"Convenience wrapper for ReadableStream, with an API lifted from ""from"" and ""through2""",top
The closest you can get to require something with bypassing the require cache,top
ES2019 spec-compliant shim for String.prototype.trimLeft.,top
ES2019 spec-compliant shim for String.prototype.trimRight.,top
ESlint Rules for the Standard Linter,top
A simple javascript utility for conditionally joining classNames together,top
Parse yes/no like values,top
Regular expression for matching XML NCName,top
Additional ESLint's rules for Node.js,top
"Object of ""void elements"" as defined by the WHATWG HTML Standard.",top
A Webpack plugin to optimize \ minimize CSS assets.,top
Next-generation ES module bundler,top
Run a series of dependent gulp tasks in order,top
"I created this in 2014, the year I learned how to program. All of the downloads are from an old version of https://github.com/micromatch/micromatch. I've done a few other things since: https://github.com/jonschlinkert.",top
:watch: Browser shim for Node.js process.hrtime(),top
Global logging utility.,top
A better `Stream.pipe` that creates duplex streams and lets you handle errors in one place.,top
Node.js module to detect available ports of the system.,top
Transform the first chunk in a stream,top
Webpack hot reloading you can attach to your own server,top
⏳ Modern JavaScript date utility library ⌛️,top
Git hooks made easy 🐶 woof!,top
"Log things, prefixed with a timestamp.",top
Import a module like with `require()` but from a given path,top
Thunk middleware for Redux,top
A tokenzier for Sass' SCSS syntax,top
Returns true if a filepath is absolute. The original path-is-absolute.,top
NOTE: You probably want native promises now,top
"Check if the process is running as root user, for example, one started with `sudo`",top
PostCSS plugin to fallback initial keyword,top
Istanbul Instrumenter Loader,top
PostCSS plugin to inline at-import rules content,top
Override HTTP verbs.,top
"Returns `true` if a file path appears to be relative. Moved from the ""relative"" lib.",top
"Detect the file type of a file, stream, or data",top
the Istanbul command line interface,top
The Promised Node -- a package which promisifies the node standard library.,top
Import a module like with `require()` but from the current working directory,top
"Compare semver version strings to find which is greater, equal or lesser.",top
"Recognizes certain classes of webpack errors and cleans, aggregates and prioritizes them to provide a better Developer Experience.",top
List of node.js builtin modules,top
Fixing Node pipes,top
:page_with_curl: pipe to console - process.stdout in your browser,top
Iterate all the data in a stream,top
PostCSS plugin to transform W3C CSS font variant properties to more compatible CSS (font-feature-settings),top
ES6 spec-compliant RegExp.prototype.flags shim,top
Detect circular dependencies in modules compiled with Webpack,top
A mirror of Facebook's Warning,top
Logger for gulp and gulp plugins.,top
Replaces a file extension with another one.,top
Regular expressions for matching against the XML Character Classes,top
Cross-browser `CustomEvent` constructor,top
Parse a filepath and return an object of path parts. Falls back on native node.js `path.parse` if it exists ,top
"🌟 JavaScript Style Guide, with linter & automatic code fixer",top
"The power of webpack, distilled for the rest of us.",top
Extend the properties from any number of objects onto the first object. Pass an empty object as the first arg to create a new object.,top
Check if gulplog is available before attempting to use it,top
Get the callsite of the caller function,top
Check if something is a generator function,top
Find the closest package.json file,top
Serializes any DOM node into a String,top
Is the given string an acceptable npm package name?,top
Let your JS API users either give you a callback or receive a promise,top
Zip extraction written in pure JavaScript. Extracts a zip into a directory. ,top
Tweak React components in real time. (Deprecated: use Fast Refresh instead.),top
yet another unzip library for node,top
Decompress a HTTP response if needed,top
A partial implementation of the W3C URL Spec Draft for Node,top
Apply an async function to each Array element in series,top
Browserify transform for Babel,top
Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap,top
Create ansi colors by passing open and close codes.,top
A tool for respawning node binaries when special flags are present.,top
:cyclone: Use conventional text streams at the start of your gulp or vinyl pipelines,top
Regular expression for testing if a file path is a windows UNC file path. Can also be used as a component of another regexp via the `.source` property.,top
Remove unnecessary React propTypes from the production build. :balloon:,top
Webpack plugin for enabling Subresource Integrity.,top
Utilities for the snapdragon parser/compiler.,top
Fluent API for Gulp.,top
"Use Custom Media Queries in CSS, following the CSS Media Queries specification",top
Like `extend` but only copies missing properties/values to the target object.,top
This module has moved and is now available at @rollup/plugin-node-resolve / https://github.com/rollup/plugins/blob/master/packages/node-resolve,top
A module which will endeavor to guess your terminal's level of color support.,top
Writing simple and graceful Media Queries!,top
Use Custom Selectors in CSS,top
:confetti_ball: Blazing fast unique hash generator,top
Synchronously write a file and create its ancestor directories if needed,top
PostCSS plugin to transform :matches() W3C CSS pseudo class to more compatible CSS (simpler selectors),top
PostCSS plugin to transform :not() W3C CSS level 4 pseudo class to more compatible CSS (multiple css3 :not() selectors),top
Find a file given a declaration of locations.,top
Karma webpack Middleware,top
🌶️ Hot reload API for Vue components,top
Check if a value is a regular expression,top
Development-only error handler middleware,top
"Standalone denodeify, for all of your callback -> promise needs.  Just drop in an ES6 complaint promise library & stir",top
"strong-globalize is built on Unicode CLDR and jquery/globalize and implements automatic extraction of strings from JS source code and HTML templates, lint the string resource, machine-translate them in seconds.  In runtime, it loads locale and string resource into memory and provides a hook to persistent logging.",middle
 A Webpack loader that enables string-based module loading with the Angular Router,middle
Unpack a browser type and version from the useragent string,middle
Check if the internet connection is up,middle
hack into vue-loader,middle
Minifies blocks of JSON-like content into valid JSON by removing all whitespace and comments.,middle
LoopBack passport integration to support third party logins and account linking,middle
Simple rollup plugin for minifying code using babel-preset-minify.,middle
Strips comments from code,middle
Build your commands on minimist!,middle
Jade renderer for Hexo. Replaced by https://github.com/hexojs/hexo-renderer-pug,middle
Http assertions for should.js,middle
Auto-generate JS class structures for Web IDL specifications,middle
Utilities for CLI plugins,middle
Common TypeScript lint rules/preferences for Ionic.,middle
Beautiful and accessible drag and drop for lists with React,middle
Simple commandline interface to allow you to run cli or bash style commands as if you were in the terminal.,middle
Beautify CSS files.,middle
Utility that provides a single API for loading the content of a path/URL.,middle
The up-to-date and reliable Google's libphonenumber package for node.js.,middle
Write html files to hard disk even when using the webpack dev server or middleware,middle
Slice GeoJSON into vector tiles on the fly in the browser,middle
Merge svgs from a folder,middle
Social media share buttons and share counts for React,middle
NodeJS Core Module,middle
[deprecated] can be replaced with i18next-http-backend,middle
ᕙ༼ຈل͜ຈ༽ᕗ,middle
Use connect and express middleware in koa,middle
:dizzy: Create a modified babel preset based on an an existing preset.,middle
Sort stream by path name using a natural sort,middle
"Advanced streaming http request proxy middleware for Express with support for custom routes, caching, and response transforms.",middle
Gulp plugin to run tasks in multiple gulpfiles,middle
Bitcoin Wallet Import Format JS encoding/decoding module,middle
Simple module to infer the root directory of the currently running node application,middle
node.js library for Xcode simctl utility on macOS,middle
Base tests for every PostCSS CSS parser,middle
Protractor screenshot reporter for Jasmine2,middle
Levenshtein edit distance,middle
"Multiple, simultaneous, individually controllable spinners for concurrent tasks in Node.js CLI programs",middle
Effortless animation between DOM changes (eg. list reordering) using the FLIP technique.,middle
A simple React component that is resizable with a handle. ,middle
"Yet another changelog generator from git commits, based on conventions and with an optional hook to enforce the rules",middle
"Read a protobuf schema from the disk, parse it and resolve all imports",middle
"Check permissions using Shiro-like strings, put in a trie.",middle
🐱 concatenate files,middle
Minify images seamlessly,middle
Wrapper for using css-inline-images in Gulp,middle
"A declarative, HTML-based language that makes building web apps fun",middle
"Parses expressions like 1-10,20-30. Returns an energetic array.",middle
Convert streams (readable or writable) to promises,middle
A Gulp module to push a given folder to a subtree,middle
A CLI for the node-lintspaces module.,middle
"gl-matrix's mat4, split into smaller pieces",middle
:hamburger: An off-canvas sidebar component with a collection of effects and styles using CSS transitions and SVG path animations,middle
Store enhancer that syncs (a subset) of your Redux store state to localstorage.,middle
Simplest (:pray:) way to reload an electron app on file changes!,middle
Clone a git repository,middle
autod egg plugin,middle
"Simple, intuitive and flexible unit testing framework for javascript / Node.js. Integrates the great assertions libraries Must.js, Should.js, Assert of Node.js, Sinon.js and other friendly features.",middle
"Inlines img, script and link tags into the same file",middle
Sets up the default configuration for the aurelia framework and gets you up and running quick and easy.,middle
Visualize flow between nodes in a directed acyclic network.,middle
Test-framework-agnostic helpers for testing Ember.js applications,middle
"JHipster Domain Language, used by JHipster UML and JDL-Studio to generate entities",middle
"Slug generator with less than 1 KB and no dependencies, RFC 3986 compliant",middle
Superseded by abstract-level. An abstract-leveldown implementation that wraps another store to encode keys and values.,middle
gulp.js wrapper for html5-lint,middle
A packing algorithm for 2D bin packing. Largely based on code and a blog post by Jake Gordon.,middle
A simple way to mount React components ,middle
A standalone point geometry primitive.,middle
WHATWG fetch ponyfill,middle
A linter for code styling. Ensures code is written in a beautiful way.,middle
,middle
Strip comments from CSS,middle
"A simple tool for grabbing the top contributors for a repo from github, with some convenient options.",middle
Resizable dockable react component,middle
"convert img to base64, or convert base64 to img",middle
node security project npm utilities,middle
Get the most recent git semver tag of your repository,middle
Apache Cordova Tooling Library,middle
"UTF-8 to ASCII transliteration / slugify module for node.js, browser, Web Worker, React Native, Electron and CLI.",middle
Automated memory leak detection and analysis,middle
A tiny async loader / dependency manager for modern browsers (961 bytes),middle
:octopus: Decorate yargs content with chalk styles and figlet fonts,middle
reschedulable setInterval for node.js,middle
Animate One React Element,middle
jsDoc plugin adapter for gulp,middle
Gulp plugin for power-assert,middle
Remove unused CSS. Also works with single-page apps.,middle
A NodeJS Discord library,middle
Git/Subversion/Mercurial repository metadata parser,middle
A bridge between node and PhantomJS,middle
,middle
Abbreviation (<abbr>) tag plugin for markdown-it markdown parser,middle
NodeJS package that gives a simplier API to npm install (programatically installs things),middle
Hot Module Replacement plugin for Browserify,middle
Session file store is a provision for storing session data in the session file,middle
A validator for checking different kinds of whitespaces in your files.,middle
Animations & transitions for ambitious Ember applications.,middle
Passport middleware for Koa,middle
Template helper for including a code coverage report generated by istanbul.,middle
A library to retrieve RSA public keys from a JWKS (JSON Web Key Set) endpoint.,middle
A package to help with webpacking NativeScript apps.,middle
