library,source,description,fog_index
is-extendable,top,"Answers the question: ""can this value have keys?"". Returns true if a value is any of the object types: array, regexp, plain object, function or date. Useful for determining if a value is an object that can be extended.",7.251282051282051
axios,top,Promise based HTTP client for the browser and node.js,3.6
hash-base,top,abstract base class for hash-streams,2.0
get-stream,top,"Get a stream as a string, Buffer, ArrayBuffer or array",8.0
is-number,top,"JavaScript/Node.js utility. Returns `true` if the value is a number or string number. Useful for checking regex match results, user input, parsed strings, etc. ",9.8
is-path-cwd,top,Check if a path is the current working directory,8.044444444444444
is-path-in-cwd,top,Check if a path is in the current working directory,8.0
resolve-from,top,Resolve the path of a module like require.resolve() but from a given path,5.676923076923078
y18n,top,:ledger: the bare-bones i18n library used by yargs,3.2
preserve,top,"Temporarily substitute tokens in the given `string` with placeholders, then put them back after transforming the string.",16.211764705882356
path-type,top,"Check if a path is a file, directory, or symlink",8.0
proxy-addr,top,Determine address of proxied request,10.0
randomatic,top,"Easily generate random strings like passwords, with simple options for specifying a length and for using patterns of numeric, alpha-numeric, alphabetical, special or custom characters. (the original ""generate-password"")",18.45714285714286
prop-types,top,Runtime type checking for React props and similar objects,8.044444444444444
serialize-javascript,top,Serialize JavaScript to a superset of JSON that includes regular expressions and functions.,20.584615384615386
number-is-nan,top,ES2015 Number.isNaN() ponyfill,14.533333333333335
regex-cache,top,"Memoize the results of a call to the RegExp constructor, avoiding repetitious runtime compilation of the same string and options, resulting in dramatic speed improvements.",22.8
pkg-dir,top,Find the root directory of a Node.js project or npm package,5.836363636363637
isstream,top,Determine if an object is a Node.js Stream,8.200000000000001
parse-asn1,top,,0.0
alphanum-sort,top,Alphanumeric sorting algorithm,27.86666666666667
get-stdin,top,Get stdin as a string or buffer,2.8000000000000003
memory-fs,top,[DEPRECATED use memfs instead] A simple in-memory filesystem. Holds data in a javascript object.,11.371428571428572
is-finite,top,ES2015 Number.isFinite() ponyfill,14.533333333333335
is-typedarray,top,Detect whether or not an object is a Typed Array,4.0
randombytes,top,random bytes from browserify stand alone,9.066666666666668
acorn-globals,top,Use acorn to detect global variables in JavaScript,13.200000000000001
publicEncrypt,top,publicEncrypt/privateDecrypt for browserify,27.86666666666667
lazy-cache,top,"Cache requires to be lazy-loaded when needed. Uses node's own require system with tried and true, plain-vanilla JavaScript getters.",14.326315789473682
dot-prop,top,"Get, set, or delete a property from a nested object using a dot path",8.457142857142857
fetch,top,A window.fetch JavaScript polyfill.,11.600000000000001
is-equal-shallow,top,"Does a shallow comparison of two objects, returning false if the keys or values differ.",11.333333333333336
loud-rejection,top,Make unhandled promise rejections fail loudly instead of the default silent fail,11.466666666666669
mimic-fn,top,Make a function mimic another one,2.4000000000000004
callsites,top,Get callsites from the V8 stack trace API,3.2
append-transform,top,handle multiple require hooks ,21.6
is-primitive,top,Is the typeof value a javascript primitive?,14.228571428571428
object.assign,top,ES6 spec-compliant Object.assign shim. From https://github.com/es-shims/es6-shim,22.400000000000002
morgan,top,HTTP request logger middleware for node.js,9.066666666666668
path-key,top,Get the PATH environment variable key cross-platform,19.942857142857143
signal-exit,top,when you want to fire an event no matter how a process exits.,5.2
mixin-deep,top,"Deeply mix the properties of objects into the first object, while also mixing-in child objects.",8.666666666666668
ejs,top,Embedded JavaScript templates -- http://ejs.co,31.6
cache-base,top,Basic object store with methods like get/set/extend/omit,8.514285714285714
extract-text-webpack-plugin,top,[DEPRECATED] Please use https://github.com/webpack-contrib/mini-css-extract-plugin Extracts text from a bundle into a separate file,8.753846153846155
indent-string,top,Indent each line in a string,2.4000000000000004
global-prefix,top,Get the npm global path prefix. Same code used internally by npm.,5.733333333333334
espree,top,Monorepo for the JS language tools.,2.4000000000000004
class-utils,top,Utils for working with JavaScript classes and prototype methods.,12.488888888888889
collection-visit,top,"Visit a method over the items in an object, or map visit over the objects in an array. This is an alternative approach to using extend or merge, useful when events are emitted on a method like get or set.",10.0
md5.js,top,node style md5 on pure JavaScript,9.066666666666668
stream-http,top,Streaming node http in the browser,2.4000000000000004
set-value,top,Set nested properties on an object using dot-notation.,13.200000000000001
got,top,🌐 Human-friendly and powerful HTTP request library for Node.js,8.200000000000001
builtin-status-codes,top,The map of HTTP status codes from the builtin http module,4.4
union-value,top,Set an array of unique values as the property of an object. Supports setting deeply nested properties using using object-paths/dot notation. Node.js/JavaScript util.,13.295652173913044
define-property,top,Define a non-enumerable property on an object.,14.228571428571428
eslint-loader,top,[DEPRECATED] A ESlint loader for webpack,9.066666666666668
test-exclude,top,test for inclusion or exclusion of paths using globs,12.488888888888889
whatwg-url,top,An implementation of the WHATWG URL Standard in JavaScript,12.488888888888889
ansi-html,top,An elegant lib that converts the chalked text to HTML.,8.0
restore-cursor,top,Gracefully restore the CLI cursor on exit,8.514285714285714
pseudomap,top,Like `new Map` but for older JavaScripts,2.8000000000000003
webidl-conversions,top,Implements the Web IDL algorithms for converting to and from JavaScript values,18.133333333333336
object.omit,top,Return a copy of an object without the given keys. ,4.0
postcss-value-parser,top,Transforms css values into the tree,2.4000000000000004
currently-unhandled,top,Track the list of currently unhandled promise rejections,18.2
node-url,top,node.js core url module as a module,2.8000000000000003
repeating,top,Repeat a string - fast,1.6
minimalistic-assert,top,,0.0
exec-sh,top,node helper to execute shell commands,9.066666666666668
spdx-correct.js,top,correct invalid SPDX identifiers,21.6
spdx-expression-parse.js,top,parse SPDX license expressions,11.600000000000001
is-accessor-descriptor,top,Returns true if a value has the characteristics of a valid JavaScript accessor descriptor.,17.02857142857143
map-obj,top,Map object keys and values into a new object,3.6
is-data-descriptor,top,Returns true if a value has the characteristics of a valid JavaScript data descriptor.,14.171428571428573
babel-plugin-dynamic-import-node,top,"Babel plugin to transpile import() to a deferred require(), for node",8.036363636363637
loose-envify,top,Like envify but much faster,10.0
miller-rabin,top,,0.0
slice-ansi,top,Slice a string with ANSI escape codes,2.8000000000000003
cli-width,top,Fallback to a default if `process.stdout.getWindowSize` doesn't exist,6.6000000000000005
source-map-url,top,[DEPRECATED] Tools for working with sourceMappingURL comments.,14.228571428571428
css-selector-tokenizer,top,Parses and stringifies CSS selectors.,10.0
path-parse,top,Node.js path.parse() ponyfill,1.2000000000000002
window-size,top,Reliable way to to get the height and width of the terminal/console in a node.js environment.,13.9
validate-npm-package-license.js,top,Give me a string and I'll tell you if it's a valid npm package license string,6.4
clap,top,Command line argument parser,11.600000000000001
minimalistic-crypto-utils,top,Minimalistic utils for JS-only crypto,10.0
map-visit,top,Map `visit` over an array of objects.,2.8000000000000003
hash.js,top,Hash functions in pure javascript,10.0
serve-index,top,Serve directory listings,14.533333333333335
nanomatch,top,"Fast, minimal glob matcher for node.js. Similar to micromatch, minimatch and multimatch, but without support for extended globs (extglobs), posix brackets or braces, and with complete Bash 4.3 wildcard support: (""*"", ""**"", and ""?"").",11.8752688172043
vary,top,Manipulate the HTTP Vary header,10.0
split-string,top,"Split a string on a given character or characters, with support for escaping.",14.430769230769233
redent,top,Strip redundant indentation and indent the string,14.228571428571428
to-object-path,top,Create an object path (dot notation) from a list or array of strings.,8.276923076923078
unset-value,top,Delete nested properties from an object using dot notation.,12.488888888888889
strip-indent,top,Strip leading whitespace from each line in a string,3.6
trim-newlines,top,Trim newlines from the start and/or end of a string,4.0
fastparse,top,"A very simple and stupid parser, based on a statemachine and regular expressions.",11.353846153846156
boxen,top,Create boxes in the terminal,10.0
bonjour,top,A Bonjour/Zeroconf protocol implementation in JavaScript,29.06666666666667
default-require-extensions,top,Node's default require extensions as a separate module,13.200000000000001
longest,top,Get the length of the longest item in an array.,4.0
write,top,"Write data to the file system, creating any intermediate directories if they don't already exist. Used by flat-cache and many others!",9.914285714285715
is-absolute-url,top,Check if a URL is absolute,9.066666666666668
file-entry-cache,top,Error: 404,0.8
table,top,Formats data into a string table.,2.4000000000000004
flat-cache,top,Error: 404,0.8
has-unicode,top,Try to guess if your terminal supports unicode,8.200000000000001
prepend-http,top,Prepend `https://` to humanized URLs like `sindresorhus.com` and `localhost`,15.133333333333335
wide-align,top,,0.0
postcss-selector-parser,top,"A CSS selector parser, integrates with postcss but does not require it.",14.8
on-headers,top,Execute a listener when a response is about to write headers.,11.672727272727274
Object.values,top,ES2017 spec-compliant shim for Object.values,18.0
prettier,top,Prettier is an opinionated code formatter.,22.400000000000002
to-regex-range,top,"Pass two numbers, get a regex-compatible source string for matching ranges. Fast compiler, optimized regex, and validated against more than 2.78 million test assertions. Useful for creating regular expressions to validate numbers, ranges, years, etc.",14.928571428571429
emoji-regex,top,A regular expression to match all Emoji-only symbols as per the Unicode Standard.,14.430769230769233
is-plain-obj,top,Check if a value is a plain object,3.2
is-svg,top,Check if a string or buffer is SVG,3.2
object-hash,top,Generate hashes from javascript objects in node and the browser.,12.0
regjsgen,top,Generate regular expressions from regjsparser’s AST.,22.400000000000002
is-directory,top,"Extends `stats.isDirectory()`, returns `true` if a filepath is a directory.",12.0
detect-node,top,Detect Node.JS,0.8
cookie-parser,top,Parse HTTP request cookies,1.6
is-obj,top,Check if a value is an object,2.8000000000000003
map-cache,top,Basic cache object for storing key-value pairs. Based on MapCache in Lo-dash 3.0,5.676923076923078
is-windows,top,Returns true if the platform is Windows (and Cygwin or MSYS/MinGW for unit tests),5.6000000000000005
resolve-cwd,top,Resolve the path of a module like `require.resolve()` but from the current working directory,8.514285714285714
resolve-dir,top,"Resolve a directory that is either local, global or in the user's home directory.",11.314285714285715
right-align,top,Right-align the text in a string.,9.066666666666668
stack-utils,top,Captures and cleans stack traces.,2.0
websocket-extensions-node,top,Generic extension management for WebSocket connections,35.733333333333334
colormin,top,Turn a CSS color into its smallest representation.,8.200000000000001
set-immediate-shim,top,Simple `setImmediate` shim,14.533333333333335
detect-newline,top,Detect the dominant newline character of a string,13.200000000000001
engine.io-parser,top,"Parser for the engine.io protocol, used by client and server",6.0
pumpify,top,Combine an array of streams into a single duplex stream using pump and duplexify,8.457142857142857
redux,top,A JS library for predictable global state management,13.200000000000001
is-ci,top,Detect if the current environment is a CI server,8.044444444444444
copy-webpack-plugin,top,Copy files and directories with webpack,9.066666666666668
csstree,top,"A tool set for CSS including fast detailed parser, walker, generator and lexer based on W3C specs and browser implementations",14.0
uglifyjs-webpack-plugin,top,[deprecated] UglifyJS Plugin,14.533333333333335
postcss-modules-local-by-default,top,PostCSS plugin for css modules to local-scope classes and ids,4.0
url-parse,top,Small footprint URL parser that works seamlessly across Node.js and browser environments.,9.066666666666668
querystringify,top,"Querystringify - Small, simple but powerful query string parser.",8.200000000000001
postcss-modules-values,top,Pass arbitrary constants between your module files,8.514285714285714
cross-env,top,🔀 Cross platform setting of environment scripts,9.066666666666668
icss-utils,top,Search & replace tokens during the linking stage of ICSS loading,4.0
multicast-dns,top,Low level multicast-dns implementation in pure javascript,19.942857142857143
sort-keys,top,Sort the keys of an object,2.4000000000000004
contains-path,top,Return true if a file path contains the given path.,4.0
dns-packet,top,An abstract-encoding compliant module for encoding / decoding DNS packets,21.37777777777778
array-differ,top,Create an array with values that are present in the first input array but not additional ones,9.15294117647059
homedir-polyfill,top,Node.js os.homedir polyfill for older versions of node.js.,8.200000000000001
to-arraybuffer,top,Get an ArrayBuffer from a Buffer as fast as possible,8.0
num2fraction,top,Converting Number to Fraction with Node.js,9.066666666666668
css-declaration-sorter,top,Sort CSS declarations fast and automatically in a certain order.,12.0
requires-port,top,Check if a protocol requires a certain port number to be added to an URL.,11.333333333333336
neo-async,top,"Neo-Async is thought to be used as a drop-in replacement for Async, it almost fully covers its functionality and runs faster",12.20952380952381
lowercase-keys,top,Lowercase the keys of an object,9.066666666666668
get-value,top,Use property paths (`a.b.c`) get a nested value from an object.,5.836363636363637
source-list-map,top,Fast line to line SourceMap generator.,9.066666666666668
normalize-range,top,"normalize a ranged value that wraps. ( i.e. angular range [0-360), where 400 === 40 and -20 === 340)",8.200000000000001
relateurl,top,Create a relative URL with options to minify.,8.200000000000001
has-value,top,"Returns true if a value exists, false if empty. Works with deeply nested values using object paths.",3.4000000000000004
multicast-dns-service-types,top,Parse and stringify mdns service types,2.4000000000000004
internal-ip,top,Get your internal IP address,10.0
global-modules,top,Returns the directory used by NPM for globally installed NPM packages.,15.30909090909091
is-descriptor,top,Returns true if a value has the characteristics of a valid JavaScript descriptor. Works for data descriptors and accessor descriptors.,16.0
react-redux,top,Official React bindings for Redux,10.0
html-comment-regex,top,Regular expression for matching HTML comments,15.733333333333334
hoist-non-react-statics,top,Copies non-react specific statics from a child component to a parent component,18.133333333333336
socket.io-adapter,top,The Socket.IO in-memory adapter,31.6
capture-stack-trace,top,Ponyfill for Error#captureStackTrace,14.533333333333335
time-stamp,top,"Get a formatted timestamp. Used in gulp, assemble, generate, and many others.",12.4
reduce-css-calc,top,Reduce CSS calc() function at the maximum,8.514285714285714
latest-version,top,Get the latest version of an npm package,3.2
generate-function,top,Module that helps you write generated functions in Node,8.044444444444444
is-my-json-valid,top,A JSONSchema validator that uses code generation to be extremely fast,15.30909090909091
flush-write-stream,top,A write stream constructor that supports a flush function that is called before finish is emitted,11.4
object-visit,top,Call the given method on each value in the given object.,4.4
package-json,top,Get metadata of a package from the npm registry,12.488888888888889
gzip-size,top,Get the gzipped size of a string or buffer,3.6
webpack-merge,top,Merge designed for webpack,1.6
postcss-filter-plugins,top,Exclude/warn on duplicated PostCSS plugins.,18.0
snapdragon,top,"snapdragon is an extremely pluggable, powerful and easy-to-use parser-renderer factory.",16.0
leven,top,Measure the difference between two strings with the fastest JS implementation of the Levenshtein distance algorithm,13.9
reduce-function-call,top,"Reduce function calls in a string, using a callback",3.6
use,top,Easily add plugin support to your node.js application. ,13.200000000000001
dns-txt,top,Encode/decode DNS-SD TXT record RDATA fields,9.066666666666668
arraybuffer.slice,top,Exports a function for slicing ArrayBuffer without polyfilling,13.200000000000001
clone-deep,top,"Recursively (deep) clone JavaScript native types, like Object, Array, RegExp, Date as well as primitives. Used by superstruct, merge-deep, and many others!",11.672727272727274
gulp-sourcemaps,top,Sourcemap support for gulpjs.,1.6
nth-check,top,Parses and compiles CSS nth-checks to highly optimized functions.,8.044444444444444
serve-favicon,top,favicon serving middleware,27.86666666666667
detect-file,top,"Uses a breadth-first search, when necessary, to resolve the file path using the correct casing, and verify that the file actually exists. Returns consistent results regardless of case sensitivity of the file path and/or operating system.",14.977777777777778
dir-glob,top,Convert directories to glob compatible strings,15.733333333333334
mississippi,top,A collection of useful stream utility modules for writing better code using streams,11.353846153846156
js-symbol-tree,top,Turn any collection of objects into its own efficient tree or linked list using Symbol,11.333333333333336
postcss-message-helpers,top,PostCSS helpers to throw or output GNU style messages,8.044444444444444
pretty-bytes,top,Convert bytes to a human readable string: 1337 → 1.34 kB,8.0
session,top,Simple session middleware for Express,10.0
xml-name-validator,top,Validates whether a string matches the production for an XML name or qualified name,14.171428571428573
original,top,Generate the origin from an URL or check if two URL/Origins are the same.,14.171428571428573
string-length,top,Get the real length of a string - by correctly counting astral symbols and ignoring ansi escape codes,11.505882352941178
sane,top,"sane aims to be fast, small, and reliable filesystem watcher. No bells and whistles, just change events.",5.752941176470589
strict-uri-encode,top,A stricter URI encode adhering to RFC 3986,8.200000000000001
array-slice,top,"Lo-dash's array-clice method. Slices `array` from the `start` index up to, but not including, the `end` index.",5.752941176470589
is-npm,top,Check if your code is running as an npm or yarn script,4.800000000000001
node-klaw,top,A Node.js file system walker with a Readable stream interface. Extracted from fs-extra.,11.830769230769231
require-from-string,top,Load module from string,1.6
vue-loader,top,📦 Webpack loader for Vue.js components,10.0
ansi-colors,top,"Easily add ANSI colors to your text and symbols in the terminal. ansi-colors is the official ansi styling library for gulp. Used by hundreds of projects, including enquirer, vscode, codeql, azure data studio, aws-cdk, redwoodjs, leaflet, mocha, and many others.",14.333333333333336
semver-diff,top,Get the diff type of two semver versions: 0.0.1 0.0.2 → patch,4.4
xdg-basedir,top,Get XDG Base Directory paths,10.0
offset-buffer,top,,0.0
registry-url,top,Get the set npm registry URL,9.066666666666668
postcss-custom-properties,top,Use Custom Properties in CSS,10.0
uniqs,top,Tiny utility to de-duplicate lists,18.0
spdy-transport,top,"SPDY v2, v3, v3.1 and HTTP2 transport implementation for node.js",6.0
eslint-config-standard,top,ESLint Config for JavaScript Standard Style,9.066666666666668
in-publish,top,Detect if we were run as a result of `npm publish`.,4.4
wbuf,top,,0.0
stdout-stream,top,Non-blocking stdout stream,14.533333333333335
gulp-autoprefixer,top,Prefix CSS,0.8
beeper,top,Make your terminal beep,11.600000000000001
v8flags,top,Get available v8 and Node.js flags.,9.066666666666668
immer,top,Create the next immutable state by mutating the current one,12.0
url-parse-lax,top,url.parse() with support for protocol-less URLs & IPs,8.514285714285714
shallow-clone,top,"Make a shallow clone of an object, array or primitive.",8.0
uniqid,top,Unique ID Generator,14.533333333333335
import-lazy,top,Import a module lazily,11.600000000000001
ast-types-flow,top,Flow types for the Javascript AST,9.066666666666668
